"AgArea","topic","conclusion"
"Burnt River","Add_conc","There are not enough monitoring stations with sufficient data to assess status and/or trends within the Burnt River AgWQ Management Area to understand the spatial homogeneity of the basin."
"Burnt River","Add_conc","Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade"
"Burnt River","Add_conc","No monitoring stations have sufficient data to calculate the 7DADM for temperature and assess against the applicable water quality standards. Additional continuous temperature, dissolved oxygen and pH data would be useful in the AgWQ management are to better understand in-stream diurnal fluctuations."
"Burnt River","DO","One monitoring station within the Burnt River AgWQ Management Area has sufficient data to assess water quality status and trends for dissolved oxygen. Results were compared to the applicable water quality standard. Monitoring station 11494 had a significant degrading trend and no exceedances of the water quality standard within the last two years of assess data."
"Burnt River","Ecoli"," One monitoring station within the Burnt River AgWQ Management Area has sufficient data to assess water quality status and trends for E. coli. Results were compared to the water quality standard. Monitoring station 11494 had a significant degrading (positive) trend and exceedances of the water quality standard within the last two years of assess data."
"Burnt River","pH","One monitoring station within the Burnt River AgWQ Management Area has sufficient data to assess water quality status and trends for pH. Results were compared to the applicable water quality standard. Monitoring station 11494 had a significant positive trend and no exceedances of the water quality standard within the last two years of assess data."
"Burnt River","Temp","There are no monitoring stations within the Burnt River AgWQ Management Area with sufficient data to calculate the 7DADM and assess the data against the applicable State Water Quality Standard. Continuous data is needed to calculate the 7DADM."
"Burnt River","TP","Eight monitoring stations within the Burnt River AgWQ Management Area have sufficient data to assess water quality status and/or trends for total phosphorus, relative to the Snake River Hells Canyon 2004 TMDL allocation. Station 11494 has sufficient data to assess water quality status and trends, there are exceedances of the allocation within the last two years and there is not a significant trend. Seven monitoring stations have sufficient data to assess water quality status of total phosphorus, two monitoring stations do not have exceedances within the last two years (1119U-WQX-POW146 and 1119U-WQX-POW162), all other stations have at least one exceedance of the load allocation."
"Burnt River","TSS","One monitoring station has sufficient data to assess water quality trends of total suspended solids in the Burnt River AgWQ Management Area. Station 11494 does not have a significant trend and there is no applicable TMDL load allocation to assess status."
"Crooked River","Add_conc","No monitoring stations have sufficient data to calculate the 7DADM for temperature and assess against the applicable water quality standards. Additional continuous temperature, dissolved oxygen and pH data would be useful in the AgWQ management are to better understand in-stream diurnal fluctuations."
"Crooked River","Add_conc","Additional data is needed to evaluate the surrogate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade against the proposed continuous water quality data and focused restoration areas."
"Crooked River","DO","Two monitoring stations have sufficient data to assess water quality status and/or trends of dissolved oxygen within the Crooked River AgWQ Management Area. Monitoring station 10517 does not have exceedances of the water quality standard within the last two years, station 11477 as at least one exceedance. Neither of the monitoring stations has a significant trend."
"Crooked River","Ecoli","There are four monitoring stations within the Crooked River AgWQ Management that have sufficient data to assess status and/or trends of E. coli. One monitoring station (Station ID: 10517) has at least one exceedance of the water quality standard within the last two years and a significant degrading trend. Monitoring station 11477 does not have exceedances of the water quality standard within the last two years, but a significant degrading trend. Monitoring stations 1119USBR_WQX-CRO002 and 1119USBR_WQX-CRO128 do not have significant trends and do not have exceedances of the water quality standard within the last two years."
"Crooked River","pH","Two monitoring stations have sufficient data to evaluate status and/or trends of pH within the Crooked River AgWQ Management Area. Both monitoring stations (Station ID: 10517 & 11477) have exceedances of the water quality standard within the last two years and a significant negative trend. For both monitoring stations, all exceedances are basic and occur throughout the entire timeframe."
"Crooked River","Temp","There are no monitoring stations within the Crooked River AgWQ Management Area that have sufficient data to calculate the 7DADM and evaluate against the applicable water quality standard. Continuous temperature data is needed to calculate the 7DADM."
"Crooked River","TP","Two monitoring stations have sufficient data to assess water quality trends of total phosphorus within the Crooked River AgWQ Management Area (Station ID: 10517 and 11477). Station 10517 has a significant steady trend. Stations 1119USBR_WQX-CRO002 and 1119USBR_WQX-CRO128 have sufficient data to make a qualitative assessment of the status of water quality in regards to total phosphorus concentrations."
"Crooked River","TSS","Two monitoring stations have sufficient data to assess water quality trends of total suspended solids within the Crooked River AgWQ Management Area (Station ID: 10517 and 11477). Station 10517 has a significant degrading (positive) trend. Stations 1119USBR_WQX-CRO002 and 1119USBR_WQX-CRO128 have sufficient data to make a qualitative assessment of the status of water quality in regards to total suspended solids concentrations."
"Greater Harney Basin","Add_conc","Little data exists in the Greater Harney Basin AgWQ Management Area to assess water quality status and trends. There is no continuous temperature data from 2001 forward, which gives little insight into natural and anthropogenic contributions to water temperature. "
"Greater Harney Basin","Add_conc","Continuous temperature, dissolved oxygen, and pH data would be useful in this AgWQ Management Area in order to understand diurnal fluctuations. "
"Greater Harney Basin","Add_conc","Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
"Greater Harney Basin","DO","Two monitoring stations (12264 and 33929) had sufficient grab sample data to assess water quality status and trends in the Greater Harney Basin AgWQ Management Area. Station 12264 had no exceedances of the water quality standard from 2000 to 2017 and an insignificant trend. Station 33929 had one exceedance of the water quality standard throughout the entire timeframe (2006-2017) and an insignificant trend. "
"Greater Harney Basin","Ecoli","Two monitoring stations (12264 and 33929) had data from 2012 ? 2016 and therefore sufficient data to assess water quality status, but not enough to assess trends in bacteria. Monitoring station 33929 had no exceedances of the water quality standard from 2012 to 2016, while station 12264 had multiple exceedances during the entire timeframe. There was not enough data to calculate the geometric mean for either monitoring station."
"Greater Harney Basin","pH","Two monitoring stations (12264 and 33929) had sufficient data to assess water quality status and trends in pH within the Greater Harney Basin AgWQ Management Area. Both stations had insignificant trends and no exceedances of the water quality standard during the timeframe. "
"Greater Harney Basin","Temp","No monitoring stations have recent continuous data, sufficient to calculate the 7DADM. Monitoring station 12264 had sufficient data to calculate the 7DADM for temperature in 2000 and 2001, but not since. "
"Greater Harney Basin","TP","One monitoring station (12264) had sufficient data assess trends in total phosphorus within the Greater Harney Basin AgWQ Management Area and it had a significant degrading (positive) trend. Station 33929 had data from 2006 ? 2017 but not enough unique years of data to calculate trend. "
"Greater Harney Basin","TSS","One monitoring station (12264) had sufficient data assess trends in total suspended solids within the Greater Harney Basin AgWQ Management Area and it had a significant degrading (positive) trend. Station 33929 had data from 2006 ? 2017 but not enough unique years of data to calculate trend. "
"Middle Deschutes","Add_conc"," No stations within the Middle Deschutes AgWQ Management Area have continuous data for pH and dissolved oxygen. Continuous data is necessary to calculate the 7DADM and assess the data with regards to the water quality standard. Having continuous data is beneficial in understanding in-stream diurnal fluctuations. One monitoring station on the Deschutes River has continuous data, sufficient for the calculation of the 7DADM for temperature."
"Middle Deschutes","Add_conc"," Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
"Middle Deschutes","Add_conc","There are not enough monitoring stations with sufficient data to assess status and/or trends within the Middle Deschutes AgWQ Management Area to understand the spatial homogeneity of the basin."
"Middle Deschutes","DO","There are two monitoring stations within the Middle Deschutes AgWQ Management Area that have sufficient data to assess status and/or trends of dissolved oxygen data with regards to the applicable water quality standard. Both stations had at least one exceedance of the water quality standard within the two most recent years of data assessed. Station 10506 had enough data to assess trends in the data, but there was not a significant trend. Station 36776 did not have enough data to assess water quality trends. Only grab sample dissolved oxygen data was available."
"Middle Deschutes","Ecoli","There are two monitoring stations within the Middle Deschutes AgWQ Management Area that have sufficient data to assess status and/or trends of E. coli data. Results were assessed using the Oregon water quality standard for E. coli concentrations. Monitoring station 10506 did not have exceedances of the water quality standard within the last two years of assessed data and had a significant steady trend (slope of zero). Station 36776 had at least one exceedance of the water quality standard within the last two years of assessed data and not enough years of data to assess trends."
"Middle Deschutes","pH","There are two monitoring stations within the Middle Deschutes AgWQ Management Area that have sufficient data to assess status and/or trends of pH data with regards to the applicable water quality standard. Both stations had at least one exceedance of the water quality standard within the two most recent years of data assessed. Station 10506 had enough data to assess trends in the data, but there was not a significant trend. Station 36776 did not have enough data to assess water quality trends. Only grab sample pH data was available."
"Middle Deschutes","Temp","One monitoring station within the Middle Deschutes AgWQ Management Area has sufficient data to calculate the 7DADM and assess the results against the applicable water quality standard. Within the last two years of recent data, there are exceedances of the water quality standard."
"Middle Deschutes","TP"," There are two monitoring stations with the Middle Deschutes AgWQ Management Area with sufficient data to assess water quality trends. There is no water quality standard or applicable TMDL load allocation to assess total phosphorus within the Middle Deschutes AgWQ Management Area. Station 10506 had a significant steady trend (slope equals zero), station 36776 did not have enough data to perform a trends analysis.  "
"Middle Deschutes","TSS"," There are two monitoring stations with the Middle Deschutes AgWQ Management Area with sufficient data to assess water quality trends. There is no water quality standard or applicable TMDL load allocation to assess total suspended solids within the Middle Deschutes AgWQ Management Area. Station 10506 did not have a statistically significant trend in the data, station 36776 did not have enough data to perform a trends analysis.  "
"Middle Willamette","Add_conc","Although all 5 stations fit the decision criteria (Figure 2), there are not enough monitoring stations with sufficient data to assess status and/or trends within the Middle Willamette AgWQ Management Area to understand the spatial homogeneity of the basin."
"Middle Willamette","Add_conc","No monitoring stations have sufficient data to calculate the 7DADM for temperature and assess against the applicable water quality standards. Additional continuous temperature, dissolved oxygen and pH data would be useful in the AgWQ management are to better understand in-stream diurnal fluctuations. Additional data is needed to evaluate the surrogate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade against the proposed continuous water quality data and focused restoration areas."
"Middle Willamette","DO","Five monitoring stations have sufficient data to fit the criteria to assess water quality status and/or trends of dissolved oxygen, relative to the applicable Oregon water quality standard. Two monitoring stations have sufficient data to assess trends (11140 and 10373). Station 10373 has a significant improving trend, while station 11140 does not have a significant trend. All monitoring stations have at least one exceedance of the water quality standard within the last two years."
"Middle Willamette","Ecoli","Four monitoring stations within the Middle Willamette AgWQ Management Area have sufficient data to fit the criteria to assess water quality status and/or trends of E. coli, relative to the Oregon water quality standard. The fifth station, 37103 does not collect samples for E coli. Two monitoring stations (11140 and 10373) have sufficient data to determine trends, though both sites do not have significant trends. Stations 36875 and 36790 do not have exceedances of the water quality standard within the last two years while stations 11140 and 10373 have at least one exceedance."
"Middle Willamette","pH","Five monitoring stations have sufficient data to fit the criteria to assess water quality status and/or trends of pH, relative to the applicable Oregon water quality standard. Two monitoring stations have sufficient data to assess trends (11140 and 10373). Station 11140 has a significant positive trend, while station 10373 does not have a significant trend. All monitoring stations meet the water quality standard within the last two years."
"Middle Willamette","Temp","Although monitoring stations met the decision criteria ( Figure 2 ), no monitoring stations have sufficient data to calculate the 7DADM and assess water quality status and trends of temperature."
"Middle Willamette","TP","Five monitoring stations within the Middle Willamette AgWQ Management Area have sufficient data to assess water quality status, though there is no total phosphorus TMDL load allocation to compare the data to. Stations 11140 and 10373 have sufficient data to assess trends in data, though neither are significant (Table 6)."
"Middle Willamette","TSS","Four monitoring stations within the Middle Willamette AgWQ Management Area have sufficient data to assess water quality status; though there is no total suspended solids TMDL load allocation to compare the data to. The fifth station, 37103, does not collect samples for TSS. Stations 11140 and 10373 have sufficient data to assess trends in data, station 11140 has a significant positive (degrading) trend, and station 10373 does not have a significant trend (Table 6)."
"North Coast","Add_conc","Although total suspended solid concentrations were classified as degrading at 5 of 18 stations, observed concentrations at these stations were very low. Degrading trends at these stations were marginal (i.e., the slopes of these trend lines were close to 0). Although statistically significant, these trends are likely the result of having a high number of observations at these stations, rather than a meaningful lessening of water quality at these stations."
"North Coast","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., temperature, DO, pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"North Coast","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the North Coast AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"North Coast","DO","Data collected at 16 stations were sufficient to assess dissolved oxygen concentration water quality status and 19 stations for trends. Dissolved oxygen concentrations observed at 10 stations exceeded the water quality standard within the last two years. Observed trends were mixed, with 9 stations improving, 1 station degrading, and the remaining 9 stations with no statistically significant trend."
"North Coast","Ecoli","There were 15 monitoring stations within the North Coast AgWQ Management that had sufficient data to assess status and trends in E. coli concentration. One monitoring station (Station ID: 13440, Tillamook River at Bewley Creek Rd.) had at least one exceedance of the water quality standard within the last two years, but had a significant improving trend. Five monitoring stations (10523, 13417, 13424, 13433, 34019) do not have exceedances of the water quality standard within the last two years, but a significant degrading trend. The remaining nine monitoring stations do not have exceedances of the water quality standard and do not exhibit significant trends within the last 15 years."
"North Coast","Entero","Data collected at 11 stations were sufficient to assess Enterococcus concentration water quality status and 18 stations for trends. Enterococcus concentrations observed at 7 of the 11 stations exceeded the water quality standard within the last two years. Observed trends were mixed, with  two stations that exceed the standard degrading (34725 and 36221), seven stations holding steady, and one station improving."
"North Coast","pH","Data collected at 15 stations were sufficient to evaluate pH status and at 19 stations for trends of pH within the North Coast AgWQ Management Area. Only 3 monitoring stations (10817, 11434, and 12187) had exceedances of the water quality standard within the last two years. Trends at 11 of the 19 stations with sufficient data were degrading. One station (13429) had an improving trend."
"North Coast","Temp","There were no monitoring stations within the North Coast AgWQ Management Area that had sufficient data to calculate status (7DADM) and evaluate against the applicable water quality standard. Only station (21811 - Ben Smith Creek at River Mile 0.44) had sufficient data to determine trends. This station had a degrading trend."
"North Coast","TP","Data collected at 19 stations were sufficient to evaluate trends in total phosphorous concentration. Three stations (10812, 13428,  and 13429) had a statistically significant improving trend. The remaining 16 stations did not have a significant trend."
"North Coast","TSS","Data collected at 18 stations were sufficient to evaluate trends in total suspended solids. Two stations (13428 and 13429) had a statistically significant improving trend, five stations (10812, 10817, 12187, 13424, and 13433) had a statistically significant degrading trend, and three stations had a steady trend. The remaining eight stations did not have a significant trend."
"Powder-Brownlee","Add_conc"," Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
"Powder-Brownlee","Add_conc","Monitoring stations with sufficient data to assess status and/or trends do not display spatial homogeneity within the subbasin."
"Powder-Brownlee","Add_conc"," Several sites on the Powder River have continuous temperature data from 2013, which isnÂt available in the queried databases. The Powder Basin Watershed Council also collected water quality data, recent data is not included in this report."
"Powder-Brownlee","Add_conc","Included in the databases in this report, there are no monitoring stations that contain sufficient data (continuous data) to calculate the seven-day-average-daily-maximum which is necessary to compare to the water quality standard for temperature."
