ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,Shape_Leng,PlanName
"29,371.00","7,285.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Chlorpyrifos,"2,183.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,24,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"29,431.00","24,530.00",Brush Creek,Brush Creek, , ,"1,228,300,450,040.00","1,228,300,450,040.00",0, ,"31,564.00",17090009,Molalla-Pudding,Willamette,0 to 2,0,2,2,Dissolved Oxygen,6,October 15 - May 15,46,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"10,494.96",Molalla-Pudding French Prairie North Santiam
"26,019.00","12,945.00",Little North Santiam River,Little North Santiam River, , ,"1,226,091,447,850.00","1,226,091,447,850.00",0, ,"9,143.00",17090005,North Santiam,Willamette,0 to 25.2,0,25.2,25.2,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,33,Core cold water habitat,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum,"131,724.24",Molalla-Pudding French Prairie North Santiam
"26,340.00","17,086.00",Pringle Creek,Pringle Creek, , ,"1,230,450,449,390.00","1,230,450,449,390.00",0, ,"1,789.00",17090007,Middle Willamette,Willamette,0 to 6.2,0,6.2,6.2,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"32,254.76",Molalla-Pudding French Prairie North Santiam
"29,300.00","12,058.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"11,867.00",17090009,Molalla-Pudding,Willamette,0 to 53.8,0,53.8,53.8,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,Status modification,24,8,Cool-water aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: Cat 2: Attaining some criteria/uses,Previous Action: Added to database,Previous Assessment Year: 2004,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Cool water: Not less than 6.5 mg/l,"274,022.75",Molalla-Pudding French Prairie North Santiam
"29,363.00","24,563.00",North Santiam River,North Santiam River, , ,"1,230,064,446,870.00","1,230,064,446,870.00",0, ,"9,602.00",17090005,North Santiam,Willamette,0 to 45.3,0,45.3,45.3,Dissolved Oxygen,6,September 1 - June 15,49,"2,012.00",6/25/2013 0:00,Segment modification,3,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"239,598.42",Molalla-Pudding French Prairie North Santiam
"29,437.00","24,537.00",Silver Creek,Silver Creek, , ,"1,228,414,450,000.00","1,228,414,450,000.00",0, ,"31,570.00",17090009,Molalla-Pudding,Willamette,0.9 to 16.2,0.9,16.2,15.3,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,7, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,"79,719.37",Molalla-Pudding French Prairie North Santiam
"29,303.00","20,937.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"11,866.00",17090009,Molalla-Pudding,Willamette,0 to 47.5,0,47.5,47.5,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4,Resident trout spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Added to database,Previous Assessment Year: 2004,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Spawning: Not less than 11.0 mg/L or 95% of saturation,"243,102.54",Molalla-Pudding French Prairie North Santiam
"26,119.00","13,086.00",Santiam River,Santiam River, , ,"1,231,425,447,500.00","1,231,425,447,500.00",0, ,"1,843.00",17090005,North Santiam,Willamette,0 to 12,0,12,12,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,34,Salmon and trout rearing and migration,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,"63,578.64",Molalla-Pudding French Prairie North Santiam
"25,897.00","7,588.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,554.00",17090009,Molalla-Pudding,Willamette,0 to 35.4,0,35.4,35.4,Dieldrin,"2,227.00",Year Round,3,"2,010.00",10/29/2010 0:00,No action,21,24,Drinking water; Resident fish and aquatic life; Anadromous fish passage,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: New Cat 4A: Water quality limited, TMDL approved",Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"181,266.22",Molalla-Pudding French Prairie North Santiam
