FID,Join_Count,TARGET_FID,OBJECTID,ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,Shape_Leng,PlanName
33,1,33,34,25581.000000000000000,23002.000000000000000,Pacific Ocean,Pacific Ocean, ,Harris Beach State Park,1240637462560.000000000000000,1240637462560.000000000000000,0.000000000000000,OR270205,30887.000000000000000,17100312,Chetco,Southern Oregon Coastal,348.2 to 349.6,348.199999999999990,349.600000000000020,1.400000000000000,Enterococcus,16.000000000000000,Summer,1.000000000000000,2010.000000000000000,10/1/2010 0:00:00,No action,21.000000000000000,45.000000000000000,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2010, ,Geometric mean of 35 Enterococci per 100 ml,7392.000164400000400,Curry County
68,1,68,69,28716.000000000000000,24821.000000000000000,Hunter Creek,Hunter Creek, , ,1244242423870.000000000000000,1244242423870.000000000000000,0.000000000000000, ,11576.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 18.4,0.000000000000000,18.399999999999999,18.399999999999999,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,95442.092528699999000,Curry County
75,1,75,76,25630.000000000000000,23051.000000000000000,Pacific Ocean,Pacific Ocean, ,Mill Beach,1240637462560.000000000000000,1240637462560.000000000000000,0.000000000000000,OR953303,30963.000000000000000,17100312,Chetco,Southern Oregon Coastal,350.7 to 351,350.699999999999990,351.000000000000000,0.300000000000000,Enterococcus,16.000000000000000,Summer,1.000000000000000,2010.000000000000000,10/1/2010 0:00:00,No action,21.000000000000000,45.000000000000000,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2010, ,Geometric mean of 35 Enterococci per 100 ml,1583.999828310000100,Curry County
107,1,107,108,28712.000000000000000,24817.000000000000000,Crook Creek,Crook Creek, , ,1243978422750.000000000000000,1243978422750.000000000000000,0.000000000000000, ,31680.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 2.3,0.000000000000000,2.300000000000000,2.300000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,12001.897691500000000,Curry County
109,1,109,110,25618.000000000000000,23039.000000000000000,Pacific Ocean,Pacific Ocean, ,Hubbard Creek Beach,1240637462560.000000000000000,1240637462560.000000000000000,0.000000000000000,OR676750,30938.000000000000000,17100306,Sixes,Southern Oregon Coastal,288.8 to 290,288.800000000000010,290.000000000000000,1.200000000000000,Enterococcus,16.000000000000000,Summer,1.000000000000000,2010.000000000000000,10/1/2010 0:00:00,No action,21.000000000000000,45.000000000000000,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2010, ,Geometric mean of 35 Enterococci per 100 ml,6335.999895060000200,Curry County
132,1,132,133,15968.000000000000000,13343.000000000000000,Floras Creek,Floras Creek, , ,1244974429130.000000000000000,1244974429130.000000000000000,0.000000000000000, ,2645.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 12.8,0.000000000000000,12.800000000000001,12.800000000000001,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,66305.283138900006000,Curry County
223,1,223,224,25687.000000000000000,23108.000000000000000,Pacific Ocean,Pacific Ocean, ,Mill Beach,1240637462560.000000000000000,1240637462560.000000000000000,0.000000000000000,OR953303,30963.000000000000000,17100312,Chetco,Southern Oregon Coastal,350.7 to 351,350.699999999999990,351.000000000000000,0.300000000000000,Enterococcus,16.000000000000000,FallWinterSpring,2.000000000000000,2010.000000000000000,10/1/2010 0:00:00,No action,21.000000000000000,45.000000000000000,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2010, ,Geometric mean of 35 Enterococci per 100 ml,1583.999828310000100,Curry County
282,1,282,283,25639.000000000000000,23060.000000000000000,Pacific Ocean,Pacific Ocean, ,Harris Beach State Park,1240637462560.000000000000000,1240637462560.000000000000000,0.000000000000000,OR270205,30887.000000000000000,17100312,Chetco,Southern Oregon Coastal,348.2 to 349.6,348.199999999999990,349.600000000000020,1.400000000000000,Enterococcus,16.000000000000000,FallWinterSpring,2.000000000000000,2010.000000000000000,10/1/2010 0:00:00,No action,21.000000000000000,45.000000000000000,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2010, ,Geometric mean of 35 Enterococci per 100 ml,7392.000164400000400,Curry County
305,1,305,306,15960.000000000000000,13335.000000000000000,Euchre Creek,Euchre Creek, , ,1243922425610.000000000000000,1243922425610.000000000000000,0.000000000000000, ,2624.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 12.8,0.000000000000000,12.800000000000001,12.800000000000001,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,66740.663623700006000,Curry County
401,1,401,402,15971.000000000000000,13346.000000000000000,Sixes River,Sixes River, , ,1245439428540.000000000000000,1245439428540.000000000000000,0.000000000000000, ,2648.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 30.1,0.000000000000000,30.100000000000001,30.100000000000001,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,157009.312011000000000,Curry County
