ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,COMMENTS,SUMMARY,Shape_Leng,PlanName
29376,24503,Clackamas River,Clackamas River,NA,NA,1.23E+12,1.23E+12,0,NA,11856,17090011,Clackamas,Willamette,0 to 8.1,0,8.1,8.8,Dissolved Oxygen,6,October 15 - May 15,46,2012,8/2/2013,Segment modification,3,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,NA,spawning,EPA listed segment (0 to 8.8) modified for consistency with fish use mapping information.,"2012 Data:
[DEQ] STATION 10360 at RM 0.4 from 12/03/2008 to 05/04/2010, 0 of 4 (0%) samples < 11.0 mg/l and < 95% saturation.
[DEQ] STATION 11233 at RM 1.3 from 01/19/2000 to 12/22/2011, 5 of 45 (11%) samples < 11.0 mg/l and < 95% saturation.
[DEQ] ST",42859.60213,Clackamas
30725,12044,Tualatin River,Tualatin River,NA,NA,1.23E+12,1.23E+12,0,NA,31700,17090010,Tualatin,Willamette,0 to 65.8,0,65.8,65.8,Dissolved Oxygen,6,Year Round (Non-spawning),71,2012,8/19/2013,Status modification,24,8,Cool-water aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: Cat 2:  Attaining some criteria/uses,Previous Action: Added to database,Previous Assessment Year: 2004,"TMDL Approved: 08/07/2001
Tualatin Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm#t"">Tualatin Subbasin TMDL</a>",Cool water: Not less than 6.5 mg/l,Tualatin Subbasin TMDL developed TMDLs to address dissolved oxygen during the critical time period May 1 - October 31 for the entire subbasin. (Sec. 4.3.5 p. 109),"2012 Data:
[DEQ] STATION 34540 at RM 0.1 from 10/01/2007 to 10/01/2007, 0 of 1 (0%) samples < 6.5 mg/L.
[USGS] STATION 14207600 at RM 0.3 from 01/10/2000 to 12/19/2011, 0 of 462 (0%) samples < 6.5 mg/L.
[DEQ] STATION 10916 at RM 0.3 from 08/10/2004 to",337140.5842,Clackamas
26319,16436,Willamette River,Willamette River,NA,NA,1.23E+12,1.23E+12,0,NA,9278,17090003; 17090007; 17090012,Upper Willamette; Middle Willamette; Lower Willamette,Willamette,0 to 186.4,0,186.4,186.4,E. Coli,2,FallWinterSpring,2,2010,10/29/2010,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,NA,"2004 Data:
Draft Willamette Basin Total Maximum Daily Load (TMDL) and Water Quality Management Plan (WQMP), DEQ, October 2004
[DEQ/ODA - Salem] LASAR 10332 River Mile 6.9: From 2/14/1996 to 12/30/2003, 2 out of 31 samples (6%) > 406 organisms; maximum",985540.4147,Clackamas
29370,24492,North Fork Deep Creek,North Fork Deep Creek,NA,NA,1.22E+12,1.22E+12,0,NA,31544,17090011,Clackamas,Willamette,0 to 6.6,0,6.6,6.58,Dissolved Oxygen,6,October 15 - June 15,45,2012,6/25/2013,No status change,13,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,NA,Spawning: Not less than 11.0 mg/L or 95% of saturation,NA,"2012 Data:
[USGS] STATION 452337122243500 at RM 0 from 11/04/2003 to 05/04/2004, 0 of 4 (0%) samples < 11.0 mg/l and < 95% saturation.
[DEQ] STATION 32069 at RM 2.8 from 04/13/2005 to 06/02/2010, 10 of 58 (17%) samples < 11.0 mg/l and < 95% saturation.",34594.63669,Clackamas
29440,24498,Noyer Creek,Noyer Creek,NA,NA,1.22E+12,1.22E+12,0,NA,31545,17090011,Clackamas,Willamette,0 to 3.5,0,3.5,3.5,Dissolved Oxygen,6,January 1 - June 15,42,2012,6/25/2013,No status change,13,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,NA,Spawning: Not less than 11.0 mg/L or 95% of saturation,NA,"2012 Data:
[DEQ] STATION 32068 at RM 1.8 from 04/13/2005 to 06/02/2010, 18 of 50 (36%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Eighteen exceedences of the spawning criteria  out of 49 days of samp",18215.44335,Clackamas
26405,8570,Cow Creek,Cow Creek,NA,NA,1.23E+12,1.23E+12,0,NA,2838,17090011,Clackamas,Willamette,0 to 2.6,0,2.6,2.6,E. Coli,2,FallWinterSpring,2,2010,10/29/2010,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,NA,"2004 Data:
[Clackamas County WES] Site ID 25514 River Mile 0.1:  From 1/24/1996 to 5/15/2001, 1 out of  7 samples (14%) > 406 organisms.
[Clackamas County WES] Site ID 25515 River Mile 0.9:  From 1/24/1996 to 5/15/2001, 2 out of 8 samples (25%) > 406 o",13603.10154,Clackamas
26298,8520,Clackamas River,Clackamas River,NA,NA,1.23E+12,1.23E+12,0,NA,2830,17090011,Clackamas,Willamette,0 to 15,0,15,15,E. Coli,2,Summer,1,2010,10/29/2010,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,NA,"2004 Data: 
[DEQ/ODA - Salem] LASAR 11233 River Mile 1.3: From 2/26/1996 to 12/8/2003, 2 out of 16 samples (12%) > 406 organisms; maximum 30-day log mean of 0
[Clackamas County WES] Site ID 25534 River Mile 0.3:  From 6/20/2001 to 8/20/2002, 0 out of 5",79390.20125,Clackamas
28741,6996,Tualatin River,Tualatin River,NA,NA,1.23E+12,1.23E+12,0,NA,1518,17090010,Tualatin,Willamette,0 to 44.7,0,44.7,44.7,E. Coli,2,FallWinterSpring,2,2012,7/23/2012,Status modification,24,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: Cat 2: Attaining some criteria/uses,Previous Action: Status modification - Attaining criteria/uses,Previous Assessment Year: 2004,"TMDL Approved: 08/07/2001
Tualatin Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm#t"">Tualatin Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,NA,"Based on EPA analysis of available data for 303(d) additions proposed in March 2012: Five exceedences of the 406 maximum criteria out of 34 days of sampling at LASAR station 10456, Tualatin River at Boones Ferry Road, between 10/6/04 and 4/15/08.  Exceed",230786.1535,Clackamas
28740,6950,Tualatin River,Tualatin River,NA,NA,1.23E+12,1.23E+12,0,NA,1518,17090010,Tualatin,Willamette,0 to 44.7,0,44.7,44.7,E. Coli,2,Summer,1,2012,7/23/2012,Status modification,24,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: Cat 2: Attaining some criteria/uses,Previous Action: Status modification - Attaining criteria/uses,Previous Assessment Year: 2004,"TMDL Approved: 08/07/2001
Tualatin Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm#t"">Tualatin Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,NA,"Based on EPA analysis of available data for 303(d) additions proposed in March 2012: Nine exceedences of the 406 maximum criteria out of 87 days of sampling at USGS station 14206960, TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR, between 6/5/00 and 9",230786.1535,Clackamas
29444,24502,Sieben Drainage Ditch,Sieben Drainage Ditch,NA,NA,1.23E+12,1.23E+12,0,NA,12224,17090011,Clackamas,Willamette,0 to 1.8,0,1.8,1.8,Dissolved Oxygen,6,January 1 - May 15,41,2012,6/25/2013,Segment modification,3,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,NA,Spawning: Not less than 11.0 mg/L or 95% of saturation,NA,"2012 Data:
[DEQ] STATION 32066 at RM 1.8 from 04/13/2005 to 05/11/2010, 4 of 30 (13%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Six exceedences of the spawning criteria  out of 35 days of sampling b",9481.782285,Clackamas
29360,24500,Unnamed Stream,Unnamed Stream,NA,NA,1.23E+12,1.23E+12,0,NA,31547,17090011,Clackamas,Willamette,0 to 1.5,0,1.5,1.5,Dissolved Oxygen,6,January 1 - May 15,41,2012,6/25/2013,No status change,13,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,NA,Spawning: Not less than 11.0 mg/L or 95% of saturation,NA,"2012 Data:
[DEQ] STATION 32067 at RM 1.1 from 04/13/2005 to 05/07/2008, 9 of 23 (39%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Thirteen exceedences of the spawning criteria  out of 26 days of sampl",7919.999879,Clackamas
25852,6009,Clackamas River,Clackamas River,NA,NA,1.23E+12,1.23E+12,0,NA,1491,17090011,Clackamas,Willamette,0 to 22.9,0,22.9,22.9,Temperature,12,Summer,1,2010,10/29/2010,No action,21,17,Anadromous fish passage; Salmonid fish rearing,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Rearing: 17.8 C,NA,"Previous Data: 
DEQ Data (Site 402913; RM 1.2): 76% (39 of 51) Summer values exceeded temperature standard (64) with exceedances each year and a maximum of 75.2 in WY 1986 - 1995; 7 day average of daily maximum of 70.4 exceeded standard (64) in 1995.",121301.009,Clackamas
