"Station_ID","Analyte","Sampling Organizations"
"10339","Dissolved Oxygen","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"10339","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10339","E. Coli","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"10339","pH","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"10339","Total Phosphorus","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"10339","Total Suspended Solids","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"10340","Temperature","Oregon Department of Environmental Quality, SECOR"
"10360","Dissolved Oxygen","Oregon Department of Environmental Quality"
"10360","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10360","pH","Oregon Department of Environmental Quality"
"10360","Total Suspended Solids","Oregon Department of Environmental Quality"
"10624","Dissolved Oxygen","Oregon Department of Environmental Quality"
"10624","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10624","E. Coli","Oregon Department of Environmental Quality, Willamette Riverkeeper"
"10624","pH","Oregon Department of Environmental Quality"
"10625","Dissolved Oxygen","Oregon Department of Environmental Quality"
"10625","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10625","E. Coli","Willamette Riverkeeper"
"10625","pH","Oregon Department of Environmental Quality"
"10636","Temperature","Oregon Department of Environmental Quality"
"10832","E. Coli","Oregon Department of Environmental Quality"
"10832","Total Suspended Solids","Oregon Department of Environmental Quality"
"10833","Dissolved Oxygen","Oregon Department of Environmental Quality"
"10833","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10833","pH","Oregon Department of Environmental Quality"
"10833","Total Suspended Solids","Oregon Department of Environmental Quality"
"10866","Dissolved Oxygen","TMDL - Northwest Region"
"10866","E. Coli","TMDL - Northwest Region"
"10866","pH","TMDL - Northwest Region"
"10866","Total Suspended Solids","TMDL - Northwest Region"
"10868","Dissolved Oxygen","Oregon Department of Environmental Quality, TMDL - Northwest Region"
"10868","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"10868","E. Coli","TMDL - Northwest Region"
"10868","pH","Oregon Department of Environmental Quality, TMDL - Northwest Region"
"10868","Total Suspended Solids","TMDL - Northwest Region"
"10873","Dissolved Oxygen","Willamette Riverkeeper"
"10873","pH","Willamette Riverkeeper"
"11233","Dissolved Oxygen","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"11233","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"11233","E. Coli","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"11233","pH","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"11233","Total Phosphorus","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"11233","Total Suspended Solids","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"13046","Temperature","Oregon Department of Environmental Quality"
"13070","Dissolved Oxygen","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"13070","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"13070","E. Coli","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"13070","pH","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"13070","Total Phosphorus","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"13070","Total Suspended Solids","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"14008","Dissolved Oxygen","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"14008","Dissolved oxygen saturation","Oregon Department of Environmental Quality"
"14008","E. Coli","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"14008","pH","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"14008","Total Phosphorus","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"14008","Total Suspended Solids","Ambient Water Quality Monitoring - DEQ, Oregon Department of Environmental Quality"
"15755","pH",""
"19746","pH","Oregon Department of Environmental Quality"
"19746","Total Suspended Solids","Oregon Department of Environmental Quality"
"22946","Dissolved Oxygen","Oregon Department of Environmental Quality"
